timestamp,session_id,episode,task_id,parsed_intent,action_taken,internal_reward,user_feedback,total_reward,confidence_score,suggested_correct_action,action_success,state_representation,q_values,next_best_actions
2025-09-25T11:18:20.896247,20250925_111754,0,TASK_20250925_111820_7539,open_notepad,toggle_audio,1.0,,1.0,0.0,,True,"{""state"": ""intent_open_notepad"", ""context"": null}",,"[{""action"": ""check_network_status"", ""q_value"": 0.0}, {""action"": ""open_notepad"", ""q_value"": 0.0}]"
2025-09-25T11:18:31.052159,20250925_111754,0,TASK_20250925_111820_7539,feedback_update,feedback_👍,0.0,👍,0.5,0.0,,True,"{""feedback_for_state"": ""intent_open_notepad""}","{""toggle_audio"": 0.15000000000000002}",
2025-09-25T11:18:49.772848,20250925_111754,0,TASK_20250925_111849_7797,open_notepad,toggle_audio,1.0,,1.0,0.38,,True,"{""state"": ""intent_open_notepad"", ""context"": null}","{""toggle_audio"": 0.15000000000000002}","[{""action"": ""open_file_browser"", ""q_value"": 0.0}, {""action"": ""open_notepad"", ""q_value"": 0.0}]"
2025-09-25T11:18:59.260546,20250925_111754,0,TASK_20250925_111849_7797,feedback_update,feedback_👎,0.0,👎,-0.5,0.38,,True,"{""feedback_for_state"": ""intent_open_notepad""}","{""toggle_audio"": 0.18500000000000003}",
2025-09-25T12:22:52.747036,20250925_122252,0,TASK_20250925_122252_9662,take_screenshot,open_photo_viewer,1.0,,1.0,0.0,,True,"{""state"": ""intent_take_screenshot"", ""context"": null}",,"[{""action"": ""open_settings"", ""q_value"": 0.0}, {""action"": ""enable_firewall"", ""q_value"": 0.0}]"
2025-09-25T12:22:52.780191,20250925_122252,0,TASK_20250925_122252_9662,feedback_update,feedback_👍,0.0,👍,0.5,0.0,,True,"{""feedback_for_state"": ""intent_take_screenshot""}","{""open_photo_viewer"": 0.15000000000000002}",
2025-09-25T12:26:52.104452,20250925_122652,0,TASK_20250925_122652_7120,take_screenshot,open_photo_viewer,1.0,,1.0,0.38,,True,"{""state"": ""intent_take_screenshot"", ""context"": null}","{""open_photo_viewer"": 0.15000000000000002}","[{""action"": ""open_file_browser"", ""q_value"": 0.0}, {""action"": ""open_notepad"", ""q_value"": 0.0}]"
2025-09-25T12:26:52.139485,20250925_122652,0,TASK_20250925_122652_7120,feedback_update,feedback_👍,0.0,👍,0.5,0.38,,True,"{""feedback_for_state"": ""intent_take_screenshot""}","{""open_photo_viewer"": 0.28500000000000003}",
2025-09-25T12:26:52.805615,20250925_122652,0,TASK_20250925_122652_9795,mute_audio,volume_up,1.0,,1.0,0.0,,True,"{""state"": ""intent_mute_audio"", ""context"": null}",,"[{""action"": ""minimize_all_windows"", ""q_value"": 0.0}, {""action"": ""unmute_audio"", ""q_value"": 0.0}]"
2025-09-25T12:26:53.850632,20250925_122652,0,TASK_20250925_122653_6816,check_battery_status,snap_window_left,1.0,,1.0,0.0,,True,"{""state"": ""intent_check_battery_status"", ""context"": null}",,"[{""action"": ""check_network_status"", ""q_value"": 0.0}, {""action"": ""take_screenshot"", ""q_value"": 0.0}]"
2025-09-25T12:26:54.864480,20250925_122652,0,TASK_20250925_122654_6681,create_document,check_disk_usage,1.0,,1.0,0.0,,True,"{""state"": ""intent_create_document"", ""context"": null}",,"[{""action"": ""open_file_browser"", ""q_value"": 0.0}, {""action"": ""open_browser"", ""q_value"": 0.0}]"
2025-09-25T12:26:54.867413,20250925_122652,0,TASK_20250925_122654_6681,feedback_update,feedback_👎,0.0,👎,-0.5,0.0,,True,"{""feedback_for_state"": ""intent_create_document""}","{""check_disk_usage"": 0.05}",
2025-09-25T12:40:56.856543,20250925_124056,0,TASK_20250925_124056_1556,unknown_action,open_music_player,1.0,,1.0,0.0,,True,"{""state"": ""intent_unknown_action"", ""context"": null}",,"[{""action"": ""delete_file"", ""q_value"": 0.0}, {""action"": ""check_cpu_usage"", ""q_value"": 0.0}]"
2025-09-25T12:40:56.871517,20250925_124056,0,TASK_20250925_124056_1556,feedback_update,feedback_👎,0.0,👎,-0.5,0.0,,True,"{""feedback_for_state"": ""intent_unknown_action""}","{""open_music_player"": 0.05}",
2025-09-25T12:40:57.390150,20250925_124056,0,TASK_20250925_124057_4307,show_system_info,check_memory_usage,1.0,,1.0,0.0,,True,"{""state"": ""intent_show_system_info"", ""context"": null}",,"[{""action"": ""open_browser"", ""q_value"": 0.0}, {""action"": ""minimize_all_windows"", ""q_value"": 0.0}]"
2025-09-25T12:40:57.396422,20250925_124056,0,TASK_20250925_124057_4307,feedback_update,feedback_👎,0.0,👎,-0.5,0.0,,True,"{""feedback_for_state"": ""intent_show_system_info""}","{""check_memory_usage"": 0.05}",
2025-09-25T12:40:57.909095,20250925_124056,0,TASK_20250925_124057_7301,open_documents_folder,open_photo_viewer,1.0,,1.0,0.0,,True,"{""state"": ""intent_open_documents_folder"", ""context"": null}",,"[{""action"": ""create_new_file"", ""q_value"": 0.0}, {""action"": ""scan_for_malware"", ""q_value"": 0.0}]"
2025-09-25T12:40:57.912054,20250925_124056,0,TASK_20250925_124057_7301,feedback_update,feedback_👍,0.0,👍,0.5,0.0,,True,"{""feedback_for_state"": ""intent_open_documents_folder""}","{""open_photo_viewer"": 0.15000000000000002}",
2025-09-25T12:40:58.421295,20250925_124056,0,TASK_20250925_124058_3850,open_calculator,fullscreen_mode,1.0,,1.0,0.0,,True,"{""state"": ""intent_open_calculator"", ""context"": null}",,"[{""action"": ""unmute_audio"", ""q_value"": 0.0}, {""action"": ""open_video_player"", ""q_value"": 0.0}]"
2025-09-25T12:40:58.425323,20250925_124056,0,TASK_20250925_124058_3850,feedback_update,feedback_👎,0.0,👎,-0.5,0.0,,True,"{""feedback_for_state"": ""intent_open_calculator""}","{""fullscreen_mode"": 0.05}",
