task_id,task_description,timestamp,session_id,episode,state,selected_action,raw_confidence_score,normalized_confidence,confidence_category,q_values_json,normalized_q_scores_json,q_value_spread,action_rank,relative_advantage,uncertainty
TASK_20250930_120958_1865,open notepad,2025-09-30T12:09:58.792897,20250930_120943,0,intent_open_notepad,clear_browser_data,0.38,0.38,Low-Medium,"{""clear_browser_data"": 0.05}","{""clear_browser_data"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_121015_6836,open notepad,2025-09-30T12:10:16.125941,20250930_120943,0,intent_open_notepad,open_notepad,0.73,0.73,Medium-High,"{""clear_browser_data"": 0.095, ""open_notepad"": 0.1}","{""clear_browser_data"": 0.0, ""open_notepad"": 1.0}",0.0050000000000000044,1,0.0,0.9975
TASK_20250930_121037_4832,open file browser,2025-09-30T12:10:37.807027,20250930_120943,0,intent_open_file,min_volume,0.38,0.38,Low-Medium,"{""min_volume"": 0.15000000000000002}","{""min_volume"": 0.15000000000000002}",0.0,0,0.0,1.0
TASK_20250930_121114_1544,clear browser,2025-09-30T12:11:14.856238,20250930_120943,0,intent_clear_browser_data,check_battery_status,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_121139_2507,open feedback,2025-09-30T12:11:39.176400,20250930_120943,0,intent_open_notepad,open_spreadsheet,0.0,0.0,Low,"{""clear_browser_data"": 0.095, ""open_notepad"": 0.24}","{""clear_browser_data"": 0.0, ""open_notepad"": 1.0}",0.145,0,-0.24,0.9275
TASK_20250930_133803_6583,open notepad,2025-09-30T13:38:03.206959,20250930_133803,0,intent_open_notepad,scan_for_malware,0.35,0.35,Low-Medium,"{""clear_browser_data"": 0.05}","{""clear_browser_data"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_133803_2100,take screenshot,2025-09-30T13:38:03.731209,20250930_133803,0,intent_take_screenshot,open_photo_viewer,0.41,0.41,Medium,"{""open_photo_viewer"": 0.28500000000000003}","{""open_photo_viewer"": 0.28500000000000003}",0.0,0,0.0,1.0
TASK_20250930_133804_8968,mute audio,2025-09-30T13:38:04.258982,20250930_133803,0,intent_mute_audio,open_settings,0.38,0.38,Low-Medium,"{""open_settings"": 0.15000000000000002}","{""open_settings"": 0.15000000000000002}",0.0,0,0.0,1.0
TASK_20250930_134219_4661,quite,2025-09-30T13:42:19.602389,20250930_134151,0,intent_unknown_action,open_music_player,0.38,0.38,Low-Medium,"{""open_music_player"": 0.05}","{""open_music_player"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_145617_2645,take screenshot,2025-09-30T14:56:17.321253,20250930_145446,0,intent_take_screenshot,open_photo_viewer,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_photo_viewer"": 0.30650000000000005, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.20650000000000004,1,0.0,0.8967499999999999
TASK_20250930_145642_6912,open photo viewer,2025-09-30T14:56:43.844092,20250930_145446,0,intent_open_photo_viewer,open_file_browser,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_145958_7687,open notepad,2025-09-30T14:59:59.060912,20250930_145942,0,intent_open_notepad,open_notepad,0.73,0.73,Medium-High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.1}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.05,1,0.0,0.975
TASK_20250930_150030_5540,take screenshot,2025-09-30T15:00:30.241594,20250930_145942,0,intent_take_screenshot,open_photo_viewer,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_photo_viewer"": 0.30650000000000005, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.20650000000000004,1,0.0,0.8967499999999999
TASK_20250930_150350_1312,open terminal,2025-09-30T15:03:50.447535,20250930_150350,0,intent_open_terminal,check_network_status,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_150351_1345,computer specs,2025-09-30T15:03:51.469075,20250930_150350,0,intent_unknown_action,open_music_player,0.38,0.38,Low-Medium,"{""open_music_player"": 0.05}","{""open_music_player"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_150352_5223,create folder,2025-09-30T15:03:52.481830,20250930_150350,0,intent_create_document,check_disk_usage,0.38,0.38,Low-Medium,"{""check_disk_usage"": 0.05}","{""check_disk_usage"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_150353_6974,turn off audio,2025-09-30T15:03:53.488161,20250930_150350,0,intent_mute_audio,open_settings,0.76,0.76,Medium-High,"{""open_settings"": 0.18500000000000003, ""open_notepad"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0}",0.08500000000000002,1,0.0,0.9575
TASK_20250930_150354_8587,close current window,2025-09-30T15:03:54.501501,20250930_150350,0,intent_close_active_window,check_privacy_settings,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_150607_7115,access downloads,2025-09-30T15:06:07.360018,20250930_150601,0,intent_unknown_action,open_music_player,0.38,0.38,Low-Medium,"{""open_music_player"": 0.05}","{""open_music_player"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_150630_2102,code editor,2025-09-30T15:06:30.683895,20250930_150601,0,intent_open_notepad,open_notepad,0.73,0.73,Medium-High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.1}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.05,1,0.0,0.975
TASK_20250930_150646_7110,private browsing,2025-09-30T15:06:46.567834,20250930_150601,0,intent_unknown_action,open_music_player,0.41,0.41,Medium,"{""open_music_player"": 0.195}","{""open_music_player"": 0.195}",0.0,0,0.0,1.0
TASK_20250930_150656_5965,dictionary lookup,2025-09-30T15:06:56.280306,20250930_150601,0,intent_unknown_action,open_music_player,0.43999999999999995,0.43999999999999995,Medium,"{""open_music_player"": 0.3255}","{""open_music_player"": 0.3255}",0.0,0,0.0,1.0
TASK_20250930_150742_7479,control volume,2025-09-30T15:07:43.290773,20250930_150601,0,intent_volume_up,mute_audio,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_150918_6783,background processes,2025-09-30T15:09:18.098070,20250930_150601,0,intent_unknown_action,open_music_player,0.47,0.47,Medium,"{""open_music_player"": 0.34295000000000003}","{""open_music_player"": 0.34295000000000003}",0.0,0,0.0,1.0
TASK_20250930_150927_8721,start ide,2025-09-30T15:09:28.523079,20250930_150601,0,intent_open_notepad,open_notepad,0.76,0.76,Medium-High,"{""clear_browser_data"": 0.05, ""scan_for_malware"": 0.05, ""open_notepad"": 0.24}","{""clear_browser_data"": 0.0, ""scan_for_malware"": 0.0, ""open_notepad"": 1.0}",0.19,1,0.0,0.905
TASK_20250930_150945_2016,fullscreen mode,2025-09-30T15:09:45.382012,20250930_150601,0,intent_fullscreen_mode,open_calendar,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_151008_2095,next song,2025-09-30T15:10:08.988174,20250930_150601,0,intent_unknown_action,open_music_player,0.5,0.5,Medium,"{""open_music_player"": 0.45865500000000003}","{""open_music_player"": 0.45865500000000003}",0.0,0,0.0,1.0
TASK_20250930_151020_4296,screen shot,2025-09-30T15:10:20.908574,20250930_150601,0,intent_lock_screen,scan_for_malware,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_151245_9376,volume down,2025-09-30T15:12:45.097511,20250930_151245,0,intent_volume_down,open_settings,0.35,0.35,Low-Medium,"{""clear_browser_data"": 0.15000000000000002}","{""clear_browser_data"": 0.15000000000000002}",0.0,0,0.0,1.0
TASK_20250930_151246_6461,start web browser,2025-09-30T15:12:46.121169,20250930_151245,0,intent_unknown_action,open_music_player,0.53,0.53,Medium,"{""open_music_player"": 0.5627895}","{""open_music_player"": 0.5627895}",0.0,0,0.0,1.0
TASK_20250930_151247_7952,secure login,2025-09-30T15:12:47.144692,20250930_151245,0,intent_open_browser,clear_browser_data,0.38,0.38,Low-Medium,"{""clear_browser_data"": 0.05}","{""clear_browser_data"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_151248_6815,resource monitor,2025-09-30T15:12:48.178164,20250930_151245,0,intent_monitor_performance,max_volume,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_151249_2210,start timer,2025-09-30T15:12:49.196315,20250930_151245,0,intent_start_timer,check_network_status,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_151250_5066,connectivity test,2025-09-30T15:12:50.224675,20250930_151245,0,intent_check_network_status,open_settings,0.38,0.38,Low-Medium,"{""open_settings"": 0.05}","{""open_settings"": 0.05}",0.0,0,0.0,1.0
TASK_20250930_151251_9081,access downloads,2025-09-30T15:12:51.624673,20250930_151245,0,intent_unknown_action,volume_up,0.35,0.35,Low-Medium,"{""open_music_player"": 0.65651055}","{""open_music_player"": 0.65651055}",0.0,0,0.0,1.0
TASK_20250930_151252_3296,window on top,2025-09-30T15:12:52.710897,20250930_151245,0,intent_unknown_action,open_music_player,0.9099999999999999,0.9099999999999999,High,"{""open_music_player"": 0.65651055, ""volume_up"": 0.05}","{""open_music_player"": 1.0, ""volume_up"": 0.0}",0.60651055,1,0.0,0.6967447250000001
TASK_20250930_151253_2622,radio app,2025-09-30T15:12:53.732937,20250930_151245,0,intent_unknown_action,open_music_player,0.94,0.94,High,"{""open_music_player"": 0.740859495, ""volume_up"": 0.05}","{""open_music_player"": 1.0, ""volume_up"": 0.0}",0.690859495,1,0.0,0.6545702525
TASK_20250930_151254_8214,ssh client,2025-09-30T15:12:54.753586,20250930_151245,0,intent_unknown_action,open_music_player,0.97,0.97,High,"{""open_music_player"": 0.8167735455, ""volume_up"": 0.05}","{""open_music_player"": 1.0, ""volume_up"": 0.0}",0.7667735455,1,0.0,0.61661322725
TASK_20250930_161114_6022,take screenshot,2025-09-30T16:11:14.752117,20250930_161114,0,intent_take_screenshot,open_photo_viewer,0.7899999999999999,0.7899999999999999,Medium-High,"{""open_photo_viewer"": 0.30650000000000005, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.20650000000000004,1,0.0,0.8967499999999999
TASK_20250930_161114_1022,battery status,2025-09-30T16:11:14.861660,20250930_161114,0,intent_check_battery_status,snap_window_right,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_161115_2771,start text editor,2025-09-30T16:11:15.872751,20250930_161114,0,intent_open_text_editor,check_network_status,0.0,0.0,Low,{},{},0.0,0,0.0,1.0
TASK_20250930_161116_3935,audio preferences,2025-09-30T16:11:16.909219,20250930_161114,0,intent_mute_audio,open_settings,0.76,0.76,Medium-High,"{""open_settings"": 0.18500000000000003, ""open_notepad"": 0.1}","{""open_settings"": 1.0, ""open_notepad"": 0.0}",0.08500000000000002,1,0.0,0.9575
TASK_20250930_161836_5457,take screenshot,2025-09-30T16:18:37.009602,20250930_161836,0,intent_take_screenshot,open_photo_viewer,0.82,0.82,High,"{""open_photo_viewer"": 0.42585000000000006, ""open_notepad"": 0.1}","{""open_photo_viewer"": 1.0, ""open_notepad"": 0.0}",0.3258500000000001,1,0.0,0.837075
